Supplier ,Contact,Costs ,Insights,Are they at Beef 21? 
SBTS / TBTS ,"sbts.une.edu.au/, tbts.une.edu.au/ ",Free,A great place to start – these extension services have the specific objective of maximising the understanding and use of genetic technologies.,Durack Pavilion – D9 & D10
BreedPlan,breedplan.une.edu.au/  ,,"Offers bull breeders the potential to accelerate genetic progress in their herds, and to provide objective information on stock they sell to commercial breeders.",MLA Pavilion or visit your respective breed society for more information 
Breed societies,,,"Provide members with access to Breedplan and retail genomic tests on behalf of suppliers, including Neogen. ",Various
HerdMaster,www.herdmaster.abri.une.edu.au ,Basic software free,"Stores and reports on genetic program results, and is compatible with BREEDPLAN.",
DataMars,www.datamars.com ,,"Retails NLIS tags, weighing hardware and stock management software. ",Elders – R17
Gallagher,am.gallagher.com/en-AU ,,"Retails NLIS tag readers, weighing hardware and stock management software.",Nutrien – OP 143
Tru-Test,www.livestock.tru-test.com ,,"Retails NLIS tag readers, weighing hardware and stock management software.",Elders – R17
Optiweigh,www.optiweigh.com.au ,,Paddock-based front-foot weighing hardware and individual animal data recording software,Tech Yards - 32
International Genetics Solutions,www.internationalgeneticsolutions.com/,,"Offers beef producers the opportunity to evaluate genetic performance across several breeds, and provide objective information to support bull and female selection.",
AgriWebb,www.agriwebb.com,Basic software free,Compiles daily farm records into reports including livestock reconciliation and stocking rates.,R2
Maia Grazing,www.maiagrazing.com ,Basic software free ,"Uses metrics to show under or over-stocking, plus individual and mob performance records.",WP82
Sapien Technology,www.sapien.com.au ,,Individual animal management software and hardware,Durack Pavilion - D33
DataMuster   ,www.datamuster.net.au ,Software free; hardware rental from $200/month,"Links paddock based weighing systems with analytical software to track animal performance in real time. Can identify top genetic performers, maternal parentage and date of calving. ",R4
Neogen ,www.neogen.com ,Depends on test types. ,The only genomic laboratory in Australia with DNA tests for a range of cattle traits. ,Durack Pavilion - D40
Zoetis,www.zoetis.com.au ,Depends on test types. ,DNA tests for a range of cattle traits.,Durack Pavilion -  D44
ST Genetics,www.stgenetics.com.au ,,Semen analysis to determine sex of progeny from AI breeding programs.,Durack Pavilion – D18
Semex,www.semex.com ,,Semen and embryo supplier.,Durack Pavilion - D45
Genetics Australia,www.genaust.com.au ,,"Semen, embryo and equipment supplier.",Durack Pavilion - D41
Rocky Repro,www.rockyrepro.com.au ,,Semen and embryo collection and analysis.,Durack Pavilion - D37
Beef Breeding Services,www.beefbreeding.com.au ,,Semen and embryo collection and analysis. ,Durack Pavilion - D8
Agri-Gene,www.agrigene.com.au ,,"Artificial breeding company, importing and exporting semen and embryos. ",Durack Pavilion – D7
